"route","file path","line","UI element hovered","trigger","visible text","tooltip text","relationship","source of the tooltip text","resource type","also the accessible name?","scope","value kind","retrieved"
"/resources","src/components/resource-sections/components/provenance/index.tsx","265","program collection link","hover + focus (Chakra Tooltip)","View collection","Search for results from this program collection.","adds detail","hardcoded in JSX","","no - element has no aria-label","route-specific","literal",""
"/resources","src/components/resource-sections/components/summary/index.tsx","37","AI summary heading","hover + focus (Chakra Tooltip)","SUMMARY","This summary is based on the description field using ChatGPT4.","adds detail","hardcoded in JSX","","no - element has no aria-label","route-specific","literal",""
"/ontology-browser","src/views/ontology-browser/components/tree/components/breadcrumbs.tsx","76","IconButton (parent node)","hover + focus (Chakra Tooltip)","(none - breadcrumb chevron icon)","Show parent","tooltip is the only text","hardcoded in JSX","","NO - aria-label differs: ""show parent node""","route-specific","literal",""
"/search","src/views/ontology-browser/components/tree/components/breadcrumbs.tsx","76","IconButton (parent node)","hover + focus (Chakra Tooltip)","(none - breadcrumb chevron icon)","Show parent","tooltip is the only text","hardcoded in JSX","","NO - aria-label differs: ""show parent node""","route-specific","literal",""
"/search","src/views/search/components/results-list/components/card/index.tsx","275","date field on a result card","hover + focus (Chakra Tooltip)","the record's date, beside a clock icon","Corresponds to the most recent of date modified, date published and date created.","adds detail","hardcoded in JSX","","no - element has no aria-label","route-specific","literal",""
"/search","src/views/search/components/results-list/components/carousel-compact-card/resource-catalog-card/index.tsx","127","date field on a compact card","hover + focus (Chakra Tooltip)","the record's date, beside a clock icon","Corresponds to the most recent of date modified, date published and date created.","adds detail","hardcoded in JSX","","no - element has no aria-label","route-specific","literal",""
"/resources","src/components/metadata/components/buttons.tsx","42","ontology info button","hover + focus (Chakra Tooltip)","the ontology term label","See ontology information.","adds detail","hardcoded in JSX as a fallback when no ariaLabel is passed","","yes - identical aria-label on the same element","shared","literal",""
"/search","src/components/metadata/components/buttons.tsx","42","ontology info button","hover + focus (Chakra Tooltip)","the ontology term label","See ontology information.","adds detail","hardcoded in JSX as a fallback when no ariaLabel is passed","","yes - identical aria-label on the same element","shared","literal",""
"/resources","src/components/metadata/components/buttons.tsx","107","property search button","hover + focus (Chakra Tooltip)","(none - magnifying glass icon)","Search the NDE for this property value","tooltip is the only text","hardcoded in JSX as a fallback when no ariaLabel is passed","","yes - identical aria-label on the same element","shared","literal",""
"/search","src/components/metadata/components/buttons.tsx","107","property search button","hover + focus (Chakra Tooltip)","(none - magnifying glass icon)","Search the NDE for this property value","tooltip is the only text","hardcoded in JSX as a fallback when no ariaLabel is passed","","yes - identical aria-label on the same element","shared","literal",""
"/search","src/views/search/components/summary/components/visualization-card/card-header.tsx","77","IconButton (expand chart)","hover + focus (Chakra Tooltip)","(none - expand icon)","Expand chart to modal view.","tooltip is the only text","hardcoded in JSX","","NO - aria-label differs: ""Expand chart to modal view""","route-specific","literal",""
"/search","src/views/search/components/summary/components/visualization-card/card-header.tsx","85","IconButton (remove chart)","hover + focus (Chakra Tooltip)","(none - close icon)","Remove chart from display.","tooltip is the only text","hardcoded in JSX","","yes - identical aria-label on the same element","route-specific","literal",""
"/search","src/views/search/components/summary/components/visualization-card/card-header.tsx","45","IconButton (chart action)","hover + focus (Chakra Tooltip)","(none - chart action icon)","Expand chart to modal view.","tooltip is the only text","passed by src/views/search/components/summary/components/visualization-card/card-header.tsx:77","","yes - identical aria-label on the same element","route-specific","value (resolved)",""
"/search","src/views/search/components/summary/components/visualization-card/card-header.tsx","45","IconButton (chart action)","hover + focus (Chakra Tooltip)","(none - chart action icon)","Remove chart from display.","tooltip is the only text","passed by src/views/search/components/summary/components/visualization-card/card-header.tsx:85","","yes - identical aria-label on the same element","route-specific","value (resolved)",""
"/saved","src/components/bookmark-buttons/icon-button.tsx","15","IconButton (bookmark)","hover + focus (Chakra Tooltip)","(none - bookmark icon)","Save query","tooltip is the only text","literal passed by saved/table-config.tsx:93 and search-results-header:108","","yes - identical aria-label on the same element","shared","value (resolved)",""
"/saved","src/components/bookmark-buttons/icon-button.tsx","15","IconButton (bookmark)","hover + focus (Chakra Tooltip)","(none - bookmark icon)","Remove saved query","tooltip is the only text","literal passed by saved/table-config.tsx:93 and search-results-header:108","","yes - identical aria-label on the same element","shared","value (resolved)",""
"/saved","src/components/bookmark-buttons/icon-button.tsx","15","IconButton (bookmark)","hover + focus (Chakra Tooltip)","(none - bookmark icon)","Save this search","tooltip is the only text","literal passed by saved/table-config.tsx:93 and search-results-header:108","","yes - identical aria-label on the same element","shared","value (resolved)",""
"/saved","src/components/bookmark-buttons/icon-button.tsx","15","IconButton (bookmark)","hover + focus (Chakra Tooltip)","(none - bookmark icon)","Remove search from saved searches","tooltip is the only text","literal passed by saved/table-config.tsx:93 and search-results-header:108","","yes - identical aria-label on the same element","shared","value (resolved)",""
"/search","src/components/bookmark-buttons/icon-button.tsx","15","IconButton (bookmark)","hover + focus (Chakra Tooltip)","(none - bookmark icon)","Save query","tooltip is the only text","literal passed by saved/table-config.tsx:93 and search-results-header:108","","yes - identical aria-label on the same element","shared","value (resolved)",""
"/search","src/components/bookmark-buttons/icon-button.tsx","15","IconButton (bookmark)","hover + focus (Chakra Tooltip)","(none - bookmark icon)","Remove saved query","tooltip is the only text","literal passed by saved/table-config.tsx:93 and search-results-header:108","","yes - identical aria-label on the same element","shared","value (resolved)",""
"/search","src/components/bookmark-buttons/icon-button.tsx","15","IconButton (bookmark)","hover + focus (Chakra Tooltip)","(none - bookmark icon)","Save this search","tooltip is the only text","literal passed by saved/table-config.tsx:93 and search-results-header:108","","yes - identical aria-label on the same element","shared","value (resolved)",""
"/search","src/components/bookmark-buttons/icon-button.tsx","15","IconButton (bookmark)","hover + focus (Chakra Tooltip)","(none - bookmark icon)","Remove search from saved searches","tooltip is the only text","literal passed by saved/table-config.tsx:93 and search-results-header:108","","yes - identical aria-label on the same element","shared","value (resolved)",""
"/resources","src/components/copy-button/index.tsx","46","Button (copy)","hover + focus (Chakra Tooltip)","(none - copy icon; the confirmation text appears only after clicking)","Copy","tooltip is the only text","literal passed as buttonText/copiedText by the resource header and json-viewer","","yes - identical aria-label on the same element","shared","value (resolved)",""
"/resources","src/components/copy-button/index.tsx","46","Button (copy)","hover + focus (Chakra Tooltip)","(none - copy icon; the confirmation text appears only after clicking)","Metadata copied!","tooltip is the only text","literal passed as buttonText/copiedText by the resource header and json-viewer","","yes - identical aria-label on the same element","shared","value (resolved)",""
"/resources","src/components/copy-button/index.tsx","46","Button (copy)","hover + focus (Chakra Tooltip)","(none - copy icon; the confirmation text appears only after clicking)","Copy Resource ID","tooltip is the only text","literal passed as buttonText/copiedText by the resource header and json-viewer","","yes - identical aria-label on the same element","shared","value (resolved)",""
"/resources","src/components/copy-button/index.tsx","46","Button (copy)","hover + focus (Chakra Tooltip)","(none - copy icon; the confirmation text appears only after clicking)","Resource ID Copied!","tooltip is the only text","literal passed as buttonText/copiedText by the resource header and json-viewer","","yes - identical aria-label on the same element","shared","value (resolved)",""
"/resources","src/components/copy-button/index.tsx","46","Button (copy)","hover + focus (Chakra Tooltip)","(none - copy icon; the confirmation text appears only after clicking)","Copy NCTID","tooltip is the only text","literal passed as buttonText/copiedText by the resource header and json-viewer","","yes - identical aria-label on the same element","shared","value (resolved)",""
"/resources","src/components/copy-button/index.tsx","46","Button (copy)","hover + focus (Chakra Tooltip)","(none - copy icon; the confirmation text appears only after clicking)","NCTID Copied!","tooltip is the only text","literal passed as buttonText/copiedText by the resource header and json-viewer","","yes - identical aria-label on the same element","shared","value (resolved)",""
"/resources","src/components/copy-button/index.tsx","46","Button (copy)","hover + focus (Chakra Tooltip)","(none - copy icon; the confirmation text appears only after clicking)","Copy DOI","tooltip is the only text","literal passed as buttonText/copiedText by the resource header and json-viewer","","yes - identical aria-label on the same element","shared","value (resolved)",""
"/ontology-browser","src/views/ontology-browser/components/ontology-search-list/toggle.tsx","20","Button (expand search list)","hover + focus (Chakra Tooltip)","Toggle Search List (mobile only - icon-only on desktop)","Expand list of selected search terms","adds detail","default value of the label prop at toggle.tsx:9","","yes - identical aria-label on the same element","route-specific","value (resolved)",""
"/search","src/views/ontology-browser/components/ontology-search-list/toggle.tsx","20","Button (expand search list)","hover + focus (Chakra Tooltip)","Toggle Search List (mobile only - icon-only on desktop)","Expand list of selected search terms","adds detail","default value of the label prop at toggle.tsx:9","","yes - identical aria-label on the same element","route-specific","value (resolved)",""
"/search","src/views/search/components/filters/components/section.tsx","90","IconButton (chart toggle)","hover + focus (Chakra Tooltip)","the filter name (adjacent label - trigger is a pie chart icon)","Add Date visualisation chart","annotates an adjacent label","template in JSX + the filter names in filters/config.ts","","yes - identical aria-label on the same element","route-specific","value (resolved)",""
"/search","src/views/search/components/filters/components/section.tsx","90","IconButton (chart toggle)","hover + focus (Chakra Tooltip)","the filter name (adjacent label - trigger is a pie chart icon)","Remove Date visualisation chart","annotates an adjacent label","template in JSX + the filter names in filters/config.ts","","yes - identical aria-label on the same element","route-specific","value (resolved)",""
"/search","src/views/search/components/filters/components/section.tsx","90","IconButton (chart toggle)","hover + focus (Chakra Tooltip)","the filter name (adjacent label - trigger is a pie chart icon)","Add Sources visualisation chart","annotates an adjacent label","template in JSX + the filter names in filters/config.ts","","yes - identical aria-label on the same element","route-specific","value (resolved)",""
"/search","src/views/search/components/filters/components/section.tsx","90","IconButton (chart toggle)","hover + focus (Chakra Tooltip)","the filter name (adjacent label - trigger is a pie chart icon)","Remove Sources visualisation chart","annotates an adjacent label","template in JSX + the filter names in filters/config.ts","","yes - identical aria-label on the same element","route-specific","value (resolved)",""
"/search","src/views/search/components/filters/components/section.tsx","90","IconButton (chart toggle)","hover + focus (Chakra Tooltip)","the filter name (adjacent label - trigger is a pie chart icon)","Add Program Collection visualisation chart","annotates an adjacent label","template in JSX + the filter names in filters/config.ts","","yes - identical aria-label on the same element","route-specific","value (resolved)",""
"/search","src/views/search/components/filters/components/section.tsx","90","IconButton (chart toggle)","hover + focus (Chakra Tooltip)","the filter name (adjacent label - trigger is a pie chart icon)","Remove Program Collection visualisation chart","annotates an adjacent label","template in JSX + the filter names in filters/config.ts","","yes - identical aria-label on the same element","route-specific","value (resolved)",""
"/search","src/views/search/components/filters/components/section.tsx","90","IconButton (chart toggle)","hover + focus (Chakra Tooltip)","the filter name (adjacent label - trigger is a pie chart icon)","Add Health Condition visualisation chart","annotates an adjacent label","template in JSX + the filter names in filters/config.ts","","yes - identical aria-label on the same element","route-specific","value (resolved)",""
"/search","src/views/search/components/filters/components/section.tsx","90","IconButton (chart toggle)","hover + focus (Chakra Tooltip)","the filter name (adjacent label - trigger is a pie chart icon)","Remove Health Condition visualisation chart","annotates an adjacent label","template in JSX + the filter names in filters/config.ts","","yes - identical aria-label on the same element","route-specific","value (resolved)",""
"/search","src/views/search/components/filters/components/section.tsx","90","IconButton (chart toggle)","hover + focus (Chakra Tooltip)","the filter name (adjacent label - trigger is a pie chart icon)","Add Pathogen Species visualisation chart","annotates an adjacent label","template in JSX + the filter names in filters/config.ts","","yes - identical aria-label on the same element","route-specific","value (resolved)",""
"/search","src/views/search/components/filters/components/section.tsx","90","IconButton (chart toggle)","hover + focus (Chakra Tooltip)","the filter name (adjacent label - trigger is a pie chart icon)","Remove Pathogen Species visualisation chart","annotates an adjacent label","template in JSX + the filter names in filters/config.ts","","yes - identical aria-label on the same element","route-specific","value (resolved)",""
"/search","src/views/search/components/filters/components/section.tsx","90","IconButton (chart toggle)","hover + focus (Chakra Tooltip)","the filter name (adjacent label - trigger is a pie chart icon)","(+10 more values not listed - 20 total at this site)","n/a - summary row","summary row","","yes - identical aria-label on the same element","route-specific","value (summary)",""
"/repository-matcher","src/views/repository-matcher/components/TableCells.tsx","103","truncated table cell","hover + focus (Chakra Tooltip) - only when the text is actually truncated","the cell value, clipped to one line","neoplasm","shows the full text of a truncated label","the cell value from the NDE API - illustrative: the interpolated part varies per record","","no - element has no aria-label","route-specific","value (sampled example)","2026-08-26"
"/resources","src/components/resource-sections/components/type-banner/index.tsx","140","resource type banner","hover + focus (Chakra Tooltip)","the resource type, e.g. DATASET","Datasets contained in the NIAID Data Ecosystem. A dataset is a collection of data of a particular experimental type. The NIAID Data Ecosystem is an environment to find and access and infectious and immune-mediated disease data and computational tools to speed the development of diagnostics, therapeutics, and vaccines. The NIAID Data Ecosystem Discovery Portal harvests metadata from dataset repository and harmonizes them to this schema to enable easy cross-platform dataset searching and filtering.","adds detail","the abstract/description for the record's @type - illustrative: the interpolated part varies per record","varies with the record","no - element has no aria-label","shared","value (sampled example)","2026-08-26"
"/search","src/components/resource-sections/components/type-banner/index.tsx","140","resource type banner","hover + focus (Chakra Tooltip)","the resource type, e.g. DATASET","Datasets contained in the NIAID Data Ecosystem. A dataset is a collection of data of a particular experimental type. The NIAID Data Ecosystem is an environment to find and access and infectious and immune-mediated disease data and computational tools to speed the development of diagnostics, therapeutics, and vaccines. The NIAID Data Ecosystem Discovery Portal harvests metadata from dataset repository and harmonizes them to this schema to enable easy cross-platform dataset searching and filtering.","adds detail","the abstract/description for the record's @type - illustrative: the interpolated part varies per record","varies with the record","no - element has no aria-label","shared","value (sampled example)","2026-08-26"
"/search","src/views/search/components/results-list/components/card/metadata-accordion/index.tsx","158","metadata accordion tab","hover + focus (Chakra Tooltip)","the metadata property name on the accordion tab","No funding data.","adds detail","template in JSX when the property is empty; otherwise the schema description - illustrative: the interpolated part varies per record","varies with the record","no - element has no aria-label","route-specific","value (sampled example)","2026-08-26"
"/search","src/views/search/components/results-list/components/card/operating-systems/index.tsx","17","operating system icon","hover + focus (Chakra Tooltip)","(none - operating-system icon)","Operating system supported: Linux","tooltip is the only text","template in JSX + operatingSystem from the NDE API - illustrative: the interpolated part varies per record","ComputationalTool","no - element has no aria-label","route-specific","value (sampled example)","2026-08-26"
"/advanced-search","src/components/advanced-search/components/Search/components/FieldSelect/index.tsx","113","field type icon in the field picker","hover + focus (Chakra Tooltip)","the field label in the picker row","text","adds detail","the field's type from the API field list, mapped at FieldSelect:55-75","","no - element has no aria-label","route-specific","value (resolved)",""
"/advanced-search","src/components/advanced-search/components/Search/components/FieldSelect/index.tsx","113","field type icon in the field picker","hover + focus (Chakra Tooltip)","the field label in the picker row","keyword","adds detail","the field's type from the API field list, mapped at FieldSelect:55-75","","no - element has no aria-label","route-specific","value (resolved)",""
"/advanced-search","src/components/advanced-search/components/Search/components/FieldSelect/index.tsx","113","field type icon in the field picker","hover + focus (Chakra Tooltip)","the field label in the picker row","number","adds detail","the field's type from the API field list, mapped at FieldSelect:55-75","","no - element has no aria-label","route-specific","value (resolved)",""
"/advanced-search","src/components/advanced-search/components/Search/components/FieldSelect/index.tsx","113","field type icon in the field picker","hover + focus (Chakra Tooltip)","the field label in the picker row","boolean","adds detail","the field's type from the API field list, mapped at FieldSelect:55-75","","no - element has no aria-label","route-specific","value (resolved)",""
"/advanced-search","src/components/advanced-search/components/Search/components/FieldSelect/index.tsx","113","field type icon in the field picker","hover + focus (Chakra Tooltip)","the field label in the picker row","date","adds detail","the field's type from the API field list, mapped at FieldSelect:55-75","","no - element has no aria-label","route-specific","value (resolved)",""
"/advanced-search","src/components/advanced-search/components/Search/components/FieldSelect/index.tsx","113","field type icon in the field picker","hover + focus (Chakra Tooltip)","the field label in the picker row","object","adds detail","the field's type from the API field list, mapped at FieldSelect:55-75","","no - element has no aria-label","route-specific","value (resolved)",""
"/advanced-search","src/components/advanced-search/components/Search/components/FieldSelect/index.tsx","113","field type icon in the field picker","hover + focus (Chakra Tooltip)","the field label in the picker row","nested","adds detail","the field's type from the API field list, mapped at FieldSelect:55-75","","no - element has no aria-label","route-specific","value (resolved)",""
"/advanced-search","src/components/advanced-search/components/Search/components/SearchOptions/components/RadioItem.tsx","11","search-type radio option","hover + focus (Chakra Tooltip)","the search-type radio label, e.g. ""Exact Match""","Matches where selected field has a value.","adds detail","the description/example pairs in advanced-search/Search/search-types-config.ts","","no - element has no aria-label","route-specific","value (resolved)",""
"/advanced-search","src/components/advanced-search/components/Search/components/SearchOptions/components/RadioItem.tsx","11","search-type radio option","hover + focus (Chakra Tooltip)","the search-type radio label, e.g. ""Exact Match""","Matches where selected field has no set value.","adds detail","the description/example pairs in advanced-search/Search/search-types-config.ts","","no - element has no aria-label","route-specific","value (resolved)",""
"/advanced-search","src/components/advanced-search/components/Search/components/SearchOptions/components/RadioItem.tsx","11","search-type radio option","hover + focus (Chakra Tooltip)","the search-type radio label, e.g. ""Exact Match""","Contains this term or phrase","adds detail","the description/example pairs in advanced-search/Search/search-types-config.ts","","no - element has no aria-label","route-specific","value (resolved)",""
"/advanced-search","src/components/advanced-search/components/Search/components/SearchOptions/components/RadioItem.tsx","11","search-type radio option","hover + focus (Chakra Tooltip)","the search-type radio label, e.g. ""Exact Match""","Contains the exact term or phrase.","adds detail","the description/example pairs in advanced-search/Search/search-types-config.ts","","no - element has no aria-label","route-specific","value (resolved)",""
"/advanced-search","src/components/advanced-search/components/Search/components/SearchOptions/components/RadioItem.tsx","11","search-type radio option","hover + focus (Chakra Tooltip)","the search-type radio label, e.g. ""Exact Match""","Field contains value that starts with given term.","adds detail","the description/example pairs in advanced-search/Search/search-types-config.ts","","no - element has no aria-label","route-specific","value (resolved)",""
"/ontology-browser","src/views/ontology-browser/components/ontology-browser-count-tag.tsx","46","dataset count tag","hover + focus (Chakra Tooltip)","the dataset count","Number of datasets for this term in the NIAID Discovery Portal","adds detail","getTooltipLabelByCountType() branches, flattened from rich JSX","","no - element has no aria-label","route-specific","value (resolved)",""
"/ontology-browser","src/views/ontology-browser/components/ontology-browser-count-tag.tsx","46","dataset count tag","hover + focus (Chakra Tooltip)","the dataset count","Number of datasets for this term and sub-terms in the NIAID Discovery Portal","adds detail","getTooltipLabelByCountType() branches, flattened from rich JSX","","no - element has no aria-label","route-specific","value (resolved)",""
"/search","src/views/ontology-browser/components/ontology-browser-count-tag.tsx","46","dataset count tag","hover + focus (Chakra Tooltip)","the dataset count","Number of datasets for this term in the NIAID Discovery Portal","adds detail","getTooltipLabelByCountType() branches, flattened from rich JSX","","no - element has no aria-label","route-specific","value (resolved)",""
"/search","src/views/ontology-browser/components/ontology-browser-count-tag.tsx","46","dataset count tag","hover + focus (Chakra Tooltip)","the dataset count","Number of datasets for this term and sub-terms in the NIAID Discovery Portal","adds detail","getTooltipLabelByCountType() branches, flattened from rich JSX","","no - element has no aria-label","route-specific","value (resolved)",""
"/ontology-browser","src/views/ontology-browser/components/tree/components/tree-node.tsx","283","dataset count on a tree node","hover + focus (Chakra Tooltip)","the dataset count beside the term","Number of datasets for this term in the NIAID Discovery Portal","adds detail","getTooltipLabelByCountType('termCount'), flattened from rich JSX","","no - element has no aria-label","route-specific","value (resolved)",""
"/search","src/views/ontology-browser/components/tree/components/tree-node.tsx","283","dataset count on a tree node","hover + focus (Chakra Tooltip)","the dataset count beside the term","Number of datasets for this term in the NIAID Discovery Portal","adds detail","getTooltipLabelByCountType('termCount'), flattened from rich JSX","","no - element has no aria-label","route-specific","value (resolved)",""
"/search","src/views/search/components/filters/components/checkbox.tsx","162","filter checkbox label","hover + focus (Chakra Tooltip)","the filter option label","Date not specified, missing, or unavailable.","adds detail","getTooltipLabel() at checkbox.tsx:22 + the filter names in filters/config.ts","","no - element has no aria-label","route-specific","value (resolved)",""
"/search","src/views/search/components/filters/components/checkbox.tsx","162","filter checkbox label","hover + focus (Chakra Tooltip)","the filter option label","One or more date is specified, found, or available.","adds detail","getTooltipLabel() at checkbox.tsx:22 + the filter names in filters/config.ts","","no - element has no aria-label","route-specific","value (resolved)",""
"/search","src/views/search/components/filters/components/checkbox.tsx","162","filter checkbox label","hover + focus (Chakra Tooltip)","the filter option label","Sources not specified, missing, or unavailable.","adds detail","getTooltipLabel() at checkbox.tsx:22 + the filter names in filters/config.ts","","no - element has no aria-label","route-specific","value (resolved)",""
"/search","src/views/search/components/filters/components/checkbox.tsx","162","filter checkbox label","hover + focus (Chakra Tooltip)","the filter option label","One or more sources is specified, found, or available.","adds detail","getTooltipLabel() at checkbox.tsx:22 + the filter names in filters/config.ts","","no - element has no aria-label","route-specific","value (resolved)",""
"/search","src/views/search/components/filters/components/checkbox.tsx","162","filter checkbox label","hover + focus (Chakra Tooltip)","the filter option label","Program Collection not specified, missing, or unavailable.","adds detail","getTooltipLabel() at checkbox.tsx:22 + the filter names in filters/config.ts","","no - element has no aria-label","route-specific","value (resolved)",""
"/search","src/views/search/components/filters/components/checkbox.tsx","162","filter checkbox label","hover + focus (Chakra Tooltip)","the filter option label","One or more program collection is specified, found, or available.","adds detail","getTooltipLabel() at checkbox.tsx:22 + the filter names in filters/config.ts","","no - element has no aria-label","route-specific","value (resolved)",""
"/search","src/views/search/components/filters/components/checkbox.tsx","162","filter checkbox label","hover + focus (Chakra Tooltip)","the filter option label","Health Condition not specified, missing, or unavailable.","adds detail","getTooltipLabel() at checkbox.tsx:22 + the filter names in filters/config.ts","","no - element has no aria-label","route-specific","value (resolved)",""
"/search","src/views/search/components/filters/components/checkbox.tsx","162","filter checkbox label","hover + focus (Chakra Tooltip)","the filter option label","One or more health condition is specified, found, or available.","adds detail","getTooltipLabel() at checkbox.tsx:22 + the filter names in filters/config.ts","","no - element has no aria-label","route-specific","value (resolved)",""
"/search","src/views/search/components/filters/components/checkbox.tsx","162","filter checkbox label","hover + focus (Chakra Tooltip)","the filter option label","Pathogen Species not specified, missing, or unavailable.","adds detail","getTooltipLabel() at checkbox.tsx:22 + the filter names in filters/config.ts","","no - element has no aria-label","route-specific","value (resolved)",""
"/search","src/views/search/components/filters/components/checkbox.tsx","162","filter checkbox label","hover + focus (Chakra Tooltip)","the filter option label","One or more pathogen species is specified, found, or available.","adds detail","getTooltipLabel() at checkbox.tsx:22 + the filter names in filters/config.ts","","no - element has no aria-label","route-specific","value (resolved)",""
"/search","src/views/search/components/filters/components/checkbox.tsx","162","filter checkbox label","hover + focus (Chakra Tooltip)","the filter option label","(+10 more values not listed - 20 total at this site)","n/a - summary row","summary row","","no - element has no aria-label","route-specific","value (summary)",""
